https://docs.google.com/spreadsheet/ccc?key=0An5phhxDkYDPdFR4eDNFZmNvem5BNUtMdjBXWEhzUlE,,,,,,,,,,
,implementation and spec,,,,,documentation,,,,
type,parse,stringify,evaluate,observe,bind,tutorial,grammar,observer semantics,binder semantics,syntax
,,,,,,,,,,
literal,Y,Y,Y,Y,X,Y,Y,Y,X,Y
value,Y,Y,Y,Y,X,Y,Y,Y,X,Y
parameters,Y,Y,Y,Y,X,Y,Y,Y,X,Y
element,Y,Y,Y,Y,X,Y,Y,Y,X,Y
component,Y,Y,Y,Y,X,Y,Y,Y,X,Y
tuple,Y,Y,Y,Y,X,Y,Y,Y,X,Y
record,Y,Y,Y,Y,X,Y,Y,Y,X,Y
,,,,,,,,,,
property,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
get,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
with,Y,Y,Y,Y,X,Y,Y,Y,X,Y
has,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
if,N,N,N,N,X,N,N,N,X,N
,,,,,,,,,,
map,Y,Y,Y,Y,X,N,Y,Y,X,Y
mapBlock,Y,Y,Y,Y,X,Y,Y,Y,X,Y
filter,Y,Y,Y,N,X,N,Y,N,X,Y (TODO)
filterBlock,Y,Y,Y,Y,X,Y,Y,Y,X,Y
sorted,Y,Y,Y,N,X,N,Y,N,X,Y (TODO)
sortedBlock,Y,Y,Y,Y,X,Y,Y,Y,X,Y
sortedSet,N,N,N,N,X,N,N,N,X,N
sortedSetBlock,N,N,N,N,X,N,N,N,X,N
mapContent,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
rangeContent,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
someBlock,N,N,N,N,X,N,N,N,X,N
everyBlock,N,N,N,N,X,N,N,N,X,N
one,N,N,N,N,X,N,N,N,X,N
only,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,
enumerate,Y,Y,Y,Y,X,Y,Y,Y,X,Y
reversed,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
flatten,Y,Y,Y,Y,X,Y,Y,Y,X,Y
view,Y,Y,Y,Y,X,Y,Y,Y,X,Y
order,N,N,N,N,X,N,N,N,X,N
,,,,,,,,,,
sum,Y,Y,Y,Y,X,Y,Y,Y,X,Y
average,Y,Y,Y,Y,X,Y,Y,Y,X,Y
min,Y,Y,N,N,X,N,N,N,X,N
max,Y,Y,N,N,X,N,N,N,X,N
,,,,,,,,,,
not,Y,Y,Y,Y,X,Y,Y,Y,X,Y
neg,Y,Y,Y,Y,X,Y,Y,Y,X,Y
number,Y,Y,Y,Y,X,Y,Y,Y,X,Y
,,,,,,,,,,
add,Y,Y,Y,Y,X,Y,Y,Y,X,Y
sub,Y,Y,Y,Y,X,Y,Y,Y,X,Y
mul,Y,Y,Y,Y,X,Y,Y,Y,X,Y
div,Y,Y,Y,Y,X,Y,Y,Y,X,Y
mod,Y,Y,Y,Y,X,Y,Y,Y,X,Y
rem,Y,Y,Y,Y,X,Y,Y,Y,X,Y
pow,Y,Y,Y,Y,X,Y,Y,Y,X,Y
root,Y,Y,Y,Y,X,Y,Y,Y,X,Y
log,Y,Y,Y,Y,X,Y,Y,Y,X,Y
,,,,,,,,,,
equals,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
lt,Y,Y,Y,Y,X,Y,Y,Y,X,Y
le,Y,Y,Y,Y,X,Y,Y,Y,X,Y
gt,Y,Y,Y,Y,X,Y,Y,Y,X,Y
ge,Y,Y,Y,Y,X,Y,Y,Y,X,Y
compare,N,N,N,N,X,N,N,N,X,N
,,,,,,,,,,
and,Y,Y,Y,Y,X,Y,Y,Y,X,Y
or,Y,Y,Y,Y,X,Y,Y,Y,X,Y
,,,,,,,,,,
startsWith,N,N,N,N,X,N,N,N,X,N
endsWith,N,N,N,N,X,N,N,N,X,N
contains,N,N,N,N,X,N,N,N,X,N
,,,,,,,,,,
toArray,N,N,N,N,X,N,N,N,X,N
toObject,N,N,N,N,X,N,N,N,X,N
toSet,N,N,N,N,X,N,N,N,X,N
toSortedSet,N,N,N,N,X,N,N,N,X,N
toDict,N,N,N,N,X,N,N,N,X,N
toList,N,N,N,N,X,N,N,N,X,N
toMap,N,N,N,N,X,N,N,N,X,N
,,,,,,,,,,
items,N,N,N,N,X,N,N,N,X,N
values,N,N,N,N,X,N,N,N,X,N
keys,N,N,N,N,X,N,N,N,X,N